txt,name,source_link,doc_type,dictionary_type
DIRECTOR OF THE NEW YORK ZOOLOGICAL PARK;,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"AUTHOR OF ""THE AMERICAN NATURAL HISTORY"";",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
EX-PRESIDENT OF THE AMERICAN BISON SOCIETY,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
WITH MAPS AND ILLUSTRATIONS,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"""Hew to the line! Let the chips fall where they will.""--_Old Exhortation_.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"""Nothing extenuate, nor set down aught in malice.""--_Othello_.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
NEW YORK,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
CHARLES SCRIBNER'S SONS,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
1913,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
       *        *        *        *        *,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
SPECIAL NOTICE,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"For the benefit of the cause that this book represents, the author",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
freely extends to all periodicals and lecturers the privilege of,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
reproducing any of the maps and illustrations in this volume except the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"bird portraits, the white-tailed deer and antelope, and the maps and",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"pictures specially copyrighted by other persons, and so recorded. This",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"privilege does not cover reproductions in books, without special",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
permission.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
       *        *        *        *        *,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
[Illustration: Portrait of William Dutcher],Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
                   TO,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
             William Dutcher,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
       FOUNDER AND PRESIDENT OF THE,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"NATIONAL ASSOCIATION OF AUDUBON SOCIETIES, AND",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
   LIFE-LONG CHAMPION OF AMERICAN BIRDS,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
       THIS VOLUME IS DEDICATED BY,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
           A SINCERE ADMIRER,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"""_I drink to him, he is not here,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
  Yet I would guard his glory;,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
A knight without reproach or fear,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"  Should live in song and story_.""",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
--_Walsh_.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
       *        *        *        *        *,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
FOREWORD,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"The preservation of animal and plant life, and of the general beauty",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"of Nature, is one of the foremost duties of the men and women of",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"to-day. It is an imperative duty, because it must be performed at",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"once, for otherwise it will be too late. Every possible means of",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"preservation,--sentimental, educational and legislative,--must be",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
employed.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"The present warning issues with no uncertain sound, because this great",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"battle for preservation and conservation cannot be won by gentle tones,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
nor by appeals to the aesthetic instincts of those who have no sense of,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"beauty, or enjoyment of Nature. It is necessary to sound a loud alarm,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"to present the facts in very strong language, backed up by irrefutable",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"statistics and by photographs which tell no lies, to establish the law",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
and enforce it if needs be with a bludgeon.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
This book is such an alarm call. Its forceful pages remind me of the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
sounding of the great bells in the watch-towers of the cities of the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"Middle Ages which called the citizens to arms to protect their homes,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
their liberties and their happiness. It is undeniable that the welfare,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
and happiness of our own and of all future generations of Americans are,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
at stake in this battle for the preservation of Nature against the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"selfishness, the ignorance, or the cruelty of her destroyers.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"We no longer destroy great works of art. They are treasured, and",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
regarded as of priceless value; but we have yet to attain the state of,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"civilization where the destruction of a glorious work of Nature, whether",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"it be a cliff, a forest, or a species of mammal or bird, is regarded",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
with equal abhorrence. The whole earth is a poorer place to live in when,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
a colony of exquisite egrets or birds of paradise is destroyed in order,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"that the plumes may decorate the hat of some lady of fashion, and",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
ultimately find their way into the rubbish heap. The people of all the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"New England States are poorer when the ignorant whites, foreigners, or",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
negroes of our southern states destroy the robins and other song birds,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
of the North for a mess of pottage.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"Travels through Europe, as well as over a large part of the North",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"American continent, have convinced me that nowhere is Nature being",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
destroyed so rapidly as in the United States. Except within our,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"conservation areas, an earthly paradise is being turned into an earthly",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"hades; and it is not savages nor primitive men who are doing this, but",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
men and women who boast of their civilization. Air and water are,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"polluted, rivers and streams serve as sewers and dumping grounds,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
forests are swept away and fishes are driven from the streams. Many,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"birds are becoming extinct, and certain mammals are on the verge of",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"extermination. Vulgar advertisements hide the landscape, and in all",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"that disfigures the wonderful heritage of the beauty of Nature to-day,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
we Americans are in the lead.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"Fortunately the tide of destruction is ebbing, and the tide of",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
conservation is coming in. Americans are practical. Like all other,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"northern peoples, they love money and will sacrifice much for it, but",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"they are also full of idealism, as well as of moral and spiritual",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
energy. The influence of the splendid body of Americans and Canadians,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
who have turned their best forces of mind and language into literature,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"and into political power for the conservation movement, is becoming",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
stronger every day. Yet we are far from the point where the momentum of,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
conservation is strong enough to arrest and roll back the tide of,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
destruction; and this is especially true with regard to our fast,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
vanishing animal life.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
The facts and figures set forth in this volume will astonish all those,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
lovers of Nature and friends of the animal world who are living in a,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
false or imaginary sense of security. The logic of these facts is,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"inexorable. As regards our birds and mammals, the failures of supposed",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
protection in America--under a system of free shooting--are so glaring,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
that we are confident this exposure will lead to sweeping reforms. The,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
author of this work is no amateur in the field of wild-life protection.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
His ideas concerning methods of reform are drawn from long and,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
successful experience. The states which are still behind in this,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"movement may well give serious heed to his summons, and pass the new",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
laws that are so urgently demanded to save the vanishing remnant.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"The New York Zoological Society, which is cooperating with many other",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"organizations in this great movement, sends forth this work in the",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
belief that there is no one who is more ardently devoted to the great,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
cause or rendering more effective service in it than William T.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"Hornaday. We believe that this is a great book, destined to exert a",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"world-wide influence, to be translated into other languages, and to",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
arouse the defenders and lovers of our vanishing animal life before it,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
is too late.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"HENRY FAIRFIELD OSBORN,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"10 December, 1912. _President of the New York Zoological Society_",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
       *        *        *        *        *,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
PREFACE,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"The writing of this book has taught me many things. Beyond question, we",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"are exterminating our finest species of mammals, birds and fishes",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
_according to law!_,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
I am appalled by the mass of evidence proving that throughout the entire,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"United States and Canada, in every state and province, the existing",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
legal system for the preservation of wild life is fatally defective.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
There is not a single state in our country from which the killable game,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"is not being rapidly and persistently shot to death, legally or",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"illegally, very much more rapidly than it is breeding, with",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
extermination for the most of it close in sight. This statement is not,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
open to argument; for millions of men know that it is literally true. We,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
are living in a fool's paradise.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
The rage for wild-life slaughter is far more prevalent to-day throughout,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"the world than it was in 1872, when the buffalo butchers paved the",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
prairies of Texas and Colorado with festering carcasses. From one end of,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"our continent to the other, there is a restless, resistless desire to",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"""kill, _kill!_""",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
I have been shocked by the accumulation of evidence showing that all,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
over our country and Canada fully nine-tenths of our protective laws,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"have practically been dictated by the killers of the game, and that in",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
all save a very few instances the hunters have been exceedingly careful,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"to provide ""open seasons"" for slaughter, as long as any game remains to",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
kill!,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"_And yet, the game of North America does not belong wholly and",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
exclusively to the men who kill! The other ninety-seven per cent of the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"People have vested rights in it, far exceeding those of the three per",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
cent. Posterity has claims upon it that no honest man can ignore._,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
I am now going to ask both the true sportsman and the people who do not,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"kill wild things to awake, and do their plain duty in protecting and",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"preserving the game and other wild life which belongs partly to us, but",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"chiefly to those who come after us. Can they be aroused, before it is",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
too late?,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"The time to discuss tiresome academic theories regarding ""bag limits""",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"and different ""open seasons"" as being sufficient to preserve the game,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
has gone by! We have reached the point where the alternatives are _long,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
closed seasons or a gameless continent;_ and we must choose one or the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"other, speedily. A continent without wild life is like a forest with no",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
leaves on the trees.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"The great increase in the slaughter of song birds for food, by the",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"negroes and poor whites of the South, has become an unbearable scourge",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"to our migratory birds,--the very birds on which farmers north and south",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"depend for protection from the insect hordes,--the very birds that are",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
most near and dear to the people of the North. _Song-bird slaughter is,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"growing and spreading_, with the decrease of the game birds! It is a",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
matter that requires instant attention and stern repression. At the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
present moment it seems that the only remedy lies in federal protection,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"for all migratory birds,--because so many states will not do their duty.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"We are weary of witnessing the greed, selfishness and cruelty of",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"""civilized"" man toward the wild creatures of the earth. We are sick of",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
tales of slaughter and pictures of carnage. It is time for a sweeping,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
Reformation; and that is precisely what we now demand.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"I have been a sportsman myself; but times have changed, and we must",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"change also. When game was plentiful, I believed that it was right for",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
men and boys to kill a limited amount of it for sport and for the table.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
But the old basis has been swept away by an Army of Destruction that now,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"is almost beyond all control. We must awake, and arouse to the new",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"situation, face it like men, and adjust our minds to the new conditions.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
The three million gunners of to-day must no longer expect or demand the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
same generous hunting privileges that were right for hunters fifty years,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"ago, when game was fifty times as plentiful as it is now and there was",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
only one killer for every fifty now in the field.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
The fatalistic idea that bag-limit laws can save the game is to-day _the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"curse of all our game birds, mammals and fishes!_ It is a fraud, a",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
delusion and a snare. That miserable fetish has been worshipped much too,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"long. Our game is being exterminated, everywhere, by blind insistence",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"upon ""open seasons,"" and solemn reliance upon ""legal bag-limits."" If a",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
majority of the people of America feel that so long as there is any game,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
alive there must be an annual two months or four months open season for,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"its slaughter, then assuredly we soon will have a gameless continent.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
The only thing that will save the game is by stopping the killing of it!,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"In establishing and promulgating this principle, the cause of wild-life",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"protection greatly needs three things: money, labor, and publicity. With",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"the first, we can secure the second and third. But can we get it,--and",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
_get it in time to save?_,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
This volume is in every sense a contribution to a Cause; and as such it,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
ever will remain. I wish the public to receive it on that basis. So much,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
important material has drifted straight to it from other hands that this,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
unexpected aid seems to the author like a good omen.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
The manuscript has received the benefit of a close and critical reading,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"and correcting by my comrade on the firing-line and esteemed friend, Mr.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"Madison Grant, through which the text was greatly improved. But for the",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
splendid encouragement and assistance that I have received from him and,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
from Professor Henry Fairneld Osborn the work involved would have borne,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
down rather heavily.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"The four chapters embracing the ""New Laws Needed; A Roll-Call of the",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"States,"" were critically inspected, corrected and brought down to date",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"by Dr. T.S. Palmer, our highest authority on the game laws of the Nation",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
and the States. For this valuable service the author is deeply grateful.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
Of course the author is alone responsible for all the opinions and,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"conclusions herein recorded, and for all errors that appear outside of",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
quotations.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
I trust that the Reader will kindly excuse and forget all the,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
typographic and clerical errors that may have escaped me in the rush,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
that had to be made against Time.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
W.T.H.,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"UNIVERSITY HEIGHTS, NEW YORK,",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
"December 1, 1912.",Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
       *        *        *        *        *,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
CONTENTS,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
PART I.--EXTERMINATION,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
Chapter,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
I.           FORMER ABUNDANCE OF WILD LIFE,Our Vanishing Wild Life,Our Vanishing Wild Life,book,book
